No,ARS1,ARS2,ARS3,PI1,PI2,EV1,EV2,EV3,AU1,AU2,NBE1,NBE2,SSE1,SSE2,SSE3,SSE4
32,2.334991194,3.362106863,3.994980856,3.943297818,3.675248568,3.464267155,4.080920573,2.439757073,2.478680764,1.829286163,3.008048817,1.584540033,2.566087219,3.522139765,1.986699061,2.603006451
33,3.786709385,4.090712478,2.549652462,2.658366763,2.361671592,2.710700866,2.664130887,2.439757073,2.478680764,2.625111049,2.27065657,2.227462986,2.566087219,3.522139765,3.687790026,3.363346159
34,4.742517933,4.090712478,3.994980856,3.943297818,3.675248568,5.055628395,5.055628395,4.813470367,2.478680764,4.422240855,4.740027963,3.538481127,4.838569838,4.556951889,4.269448925,3.363346159
35,3.084921215,3.362106863,3.265875522,3.943297818,3.011415975,4.13015496,4.080920573,3.912934008,3.270512844,2.625111049,3.008048817,3.538481127,3.35434185,4.176997227,3.687790026,4.052079107
36,3.084921215,2.557522395,3.265875522,1.862473835,1.686938329,1.938105391,1.912255908,1.74142119,2.478680764,1,4.740027963,3.538481127,4.838569838,5.252003505,4.269448925,4.52340168
37,3.084921215,3.362106863,3.265875522,3.305939203,3.011415975,3.464267155,3.365550858,3.207969981,3.270512844,2.625111049,3.008048817,2.875019754,2.566087219,3.522139765,2.906411506,4.052079107
38,3.084921215,2.557522395,2.549652462,3.943297818,3.675248568,2.710700866,2.664130887,3.207969981,2.478680764,1.829286163,3.766167658,2.875019754,3.964943232,2.625686734,3.687790026,2.603006451
39,3.084921215,3.362106863,5.031292573,3.305939203,2.361671592,3.464267155,3.365550858,3.207969981,3.270512844,2.625111049,1.647599364,2.227462986,2.566087219,3.522139765,2.906411506,3.363346159
40,2.334991194,2.557522395,2.549652462,2.658366763,2.361671592,2.710700866,2.664130887,3.207969981,2.478680764,1.829286163,2.27065657,2.227462986,2.566087219,3.522139765,2.906411506,3.363346159
41,3.786709385,2.557522395,3.994980856,2.658366763,2.361671592,3.464267155,4.080920573,2.439757073,1,1.829286163,3.766167658,1,2.566087219,2.625686734,2.906411506,2.603006451
42,3.084921215,4.090712478,3.994980856,3.943297818,3.675248568,4.13015496,4.080920573,3.912934008,3.940988425,4.422240855,3.766167658,3.538481127,3.964943232,3.522139765,3.687790026,3.363346159
43,4.742517933,4.090712478,3.994980856,3.305939203,3.011415975,4.13015496,4.080920573,3.912934008,3.940988425,3.456521246,3.766167658,4.549674491,3.35434185,2.625686734,4.269448925,2.603006451
44,2.334991194,2.557522395,2.549652462,3.943297818,4.662154078,5.055628395,5.055628395,3.912934008,3.270512844,2.625111049,3.766167658,2.227462986,3.35434185,2.625686734,1.986699061,3.363346159
45,4.742517933,5.007659716,5.031292573,4.940468549,4.662154078,5.055628395,5.055628395,4.813470367,4.864501695,4.422240855,4.740027963,4.549674491,4.838569838,5.252003505,5.042918694,5.220464775
46,2.334991194,2.557522395,3.265875522,3.305939203,3.011415975,3.464267155,2.664130887,2.439757073,2.478680764,1.829286163,2.27065657,2.875019754,2.566087219,1.745638978,1,1.862473835
47,2.334991194,3.362106863,3.265875522,2.658366763,3.675248568,3.464267155,2.664130887,1.74142119,2.478680764,2.625111049,2.27065657,2.227462986,2.566087219,3.522139765,2.906411506,3.363346159
48,2.334991194,3.362106863,3.265875522,3.305939203,3.011415975,2.710700866,2.664130887,3.207969981,3.270512844,2.625111049,3.008048817,2.875019754,3.35434185,4.176997227,3.687790026,4.052079107
49,3.786709385,4.090712478,3.265875522,3.305939203,3.675248568,4.13015496,3.365550858,3.207969981,3.940988425,2.625111049,2.27065657,3.538481127,2.566087219,3.522139765,3.687790026,3.363346159
50,3.084921215,3.362106863,3.265875522,3.305939203,2.361671592,3.464267155,3.365550858,2.439757073,2.478680764,1,1.647599364,2.227462986,3.35434185,2.625686734,3.687790026,2.603006451
51,1.646079633,1.807453339,1.745638978,1.862473835,1.686938329,1.938105391,1.912255908,1.74142119,1.646079633,1,1.647599364,1.584540033,1.695947364,2.625686734,1.986699061,2.603006451
52,3.786709385,4.090712478,3.994980856,4.940468549,3.675248568,5.055628395,5.055628395,3.912934008,3.940988425,3.456521246,4.740027963,4.549674491,3.35434185,3.522139765,2.906411506,3.363346159
